section,id,ja,en,chs,cht,opt,flags
tvp,TVPTransitionSourceAndDestinationMustHaveImage,トランジション元とトランジション先はともに画像を持っている必要があります,Transition source and destination must have image,执行 transition 的源和目的都需要持有图片,執行 transition 的來源和目的都需要持有圖片,,
tvp,TVPCannotLoadRuleGraphic,ルール画像 %1 を読み込むことができません,Cannot load rule graphics %1,载入 rule 图片 %1 失败,載入 rule 圖片 %1 失敗,,
tvp,TVPSpecifyOption,オプション %1 を指定してください,Specify option %1,请指定 %1 设置,請指定 %1 設定,,
tvp,TVPTransitionLayerSizeMismatch,トランジション元(%1)とトランジション先(%2)のレイヤのサイズが一致しません,Transition layer size mismatch %1 and %2,发生 transition 的源（%1）和目的（%2） 的 layer 大小不一致,發生 transition 的來源（%1）和目的（%2） 的 layer 大小不一致,,
tvp,TVPTransitionMutualSource,トランジション元のトランジション元が自分自身です,Transition mutual source,发生 transition 的源是自身,發生 transition 的來源是自身,,
tvp,TVPHoldDestinationAlphaParameterIsNowDeprecated,警告 : メソッド %1 の %2 番目に渡された hda パラメータは、吉里吉里２ 2.23 beta 2 より無視されるようになりました。代わりに Layer.holdAlpha プロパティを用いてください。,Warring : Method %1 %2th parameter had is ignore. Hold destination alpha parameter is now deprecated.,警告：%1 方法的第二个参数 %2 已在 2.23 beta 2 中开始不推荐使用。请使用 Layer.holdAlpha 属性作替代。,警告：%1 方法的第二個參數 %2 已在 2.23 beta 2 中開始不推薦使用。請使用 Layer.holdAlpha 屬性作替代。,,
tvp,TVPCannotConnectMultipleWaveSoundBufferAtOnce,複数の WaveSoundBuffer を一つのフィルタで同時に使用することはできません,Cannot connect multiple wave sound buffer at once,不能同时连接多个 WaveSoundBuffer,不能同時連接多個 WaveSoundBuffer,,
tvp,TVPInvalidWindowSizeMustBeIn64to32768,window は 64～32768 の範囲の 2 の累乗で無ければなりません,Invalid window size must be in 64 to 32768,Window 大小必须在 64 到 32768 之间,Window 大小必須在 64 到 32768 之間,,
tvp,TVPInvalidOverlapCountMustBeIn2to32,overlap は 2～32 の範囲の 2 の累乗で無ければなりません,Invalid overlap count must be in 2 to 32,Overlap 数值范围必须在 2 到 32 之间,Overlap 數值範圍必須在 2 到 32 之間,,
tvp,TVPCurrentlyAsyncLoadBitmap,Bitmap を非同期読込み中のため、このメソッドは呼び出せません,Currently async load bitmap,正在异步载入 Bitmap 中,正在非同步載入 Bitmap 中,,
tvp,TVPFaildClipboardCopy,クリップボードへのコピーに失敗しました,copying to clipboard failed.,拷贝粘贴板数据失败,複製剪貼簿資料失敗,,
tvp,TVPInvalidUTF16ToUTF8,UTF-16では発生し得ないUTF-8への変換です,Invalid UTF-16 to UTF-8,UTF-16 载入失败，转换为 UTF-8,UTF-16 載入失敗，轉換為 UTF-8,,
tvp,TVPInfoLoadingStartupScript,(info) 起動スクリプト読込み中 : ,(info) Loading startup script : ,（info）读取启动脚本中：,（info）讀取啟動腳本中：,,
tvp,TVPInfoStartupScriptEnded,(info) 起動スクリプト実行終了。,(info) Startup script ended.,（info）启动脚本读取完毕！,（info）啟動腳本讀取完畢！,,
tvp,TVPTjsCharMustBeTwoOrFour,sizeof(tjs_char) は 2 か 4 でなければなりません。,sizeof(tjs_char) must be 2 or 4.,sizeof(tjs_char) 只能为 2 或者 4,sizeof(tjs_char) 只能為 2 或者 4,,
tvp,TVPMediaNameHadAlreadyBeenRegistered,"メディア名 ""%1"" は既に登録されています","Media name ""%1"" had already been registered","媒体 ""%1"" 已被注册","媒體 ""%1"" 已被註冊",,
tvp,TVPMediaNameIsNotRegistered,"メディア名 ""%1"" は登録されていません","Media name ""%1"" is not registered","媒体 ""%1"" 未注册","媒體 ""%1"" 未註冊",,
tvp,TVPInfoRebuildingAutoPath,(info) 自動検索パステーブルを再構築しています ...,(info) Rebuilding Auto Path Table ...,（info）自动路径再构建中...,（info）自動路徑重新建構中...,,
tvp,TVPInfoTotalFileFoundAndActivated,"(info) Total %1 file(s) found, %2 file(s) activated. (%3ms)","(info) Total %1 file(s) found, %2 file(s) activated. (%3ms)",（info）共找到 %1 个文件，已使用 %2 个文件。（耗时 %3 ms）,（info）共找到 %1 個檔案，已使用 %2 個檔案。（耗時 %3 ms）,,
tvp,TVPErrorInRetrievingSystemOnActivateOnDeactivate,Error in retrieving System.onActivate/onDeactivate : %1,Error in retrieving System.onActivate/onDeactivate : %1,获取 System.onActive/onDeactive 发生错误：%1,取得 System.onActive/onDeactive 發生錯誤：%1,,
tvp,TVPTheHostIsNotA16BitUnicodeSystem,The host is not a 16-bit unicode system.,The host is not a 16-bit unicode system.,主机环境为非 16 位 Unicode 系统,主機環境為非 16 位元 Unicode 系統,,
tvp,TVPInfoTryingToReadXp3VirtualFileSystemInformationFrom,(info) Trying to read XP3 virtual file system information from : %1,(info) Trying to read XP3 virtual file system information from : %1,（info）尝试从 %1 中读取 XP3 虚拟文件系统信息中,（info）嘗試從 %1 中讀取 XP3 虛擬檔案系統資訊中,,
tvp,TVPSpecifiedStorageHadBeenProtected,Specified storage had been protected!,Specified storage had been protected!,指定的文件已经被保护！,指定的檔案已經被保護！,,
tvp,TVPInfoFailed,(info) 失敗。,(info) Failed.,（info）失败。,（info）失敗。,,
tvp,TVPInfoDoneWithContains,"(info) Done. (contains %1 file(s), %2 segment(s))","(info) Done. (contains %1 file(s), %2 segment(s))",（info）完成。（共计：%1 个文件，%2 块。）,（info）完成。（共計：%1 個檔案，%2 塊。）,,
tvp,TVPSeparatorCRLF,\r\n\r\n\r\n==============================================================================\r\n==============================================================================\r\n,\r\n\r\n\r\n==============================================================================\r\n==============================================================================\r\n,\r\n\r\n\r\n==============================================================================\r\n==============================================================================\r\n,\r\n\r\n\r\n==============================================================================\r\n==============================================================================\r\n,,
tvp,TVPSeparatorCR,\n\n\n==============================================================================\n==============================================================================\n,\n\n\n==============================================================================\n==============================================================================\n,\n\n\n==============================================================================\n==============================================================================\n,\n\n\n==============================================================================\n==============================================================================\n,,
tvp,TVPDefaultFontName,ＭＳ Ｐゴシック,DEFAULT_GUI_FONT,微软雅黑,微軟正黑體,,
tvp,TVPCannotOpenFontFile,Can't open font file '%1$s',Can't open font file '%1$s',不能打开字体文件 '%1$s',不能開啟字型檔案 '%1$s',,
tvp,TVPFontCannotBeUsed,フォント '%1$s' は使用できません,Font '%1$s' cannot be used,不能使用 '%1$s' 字体,不能使用 '%1$s' 字型,,
tvp,TVPFontRasterizeError,フォント ラスタライズ エラー.,Font Rasterize error.,字体光栅化发生错误,字型點陣化發生錯誤,,
tvp,TVPBitFieldsNotSupported,BITFIELDS not supported.,BITFIELDS not supported.,不支持 BitFields,不支援 BitFields,,
tvp,TVPCompressedBmpNotSupported,Compressed BMP not supported.,Compressed BMP not supported.,不支持压缩 BMP,不支援壓縮 BMP,,
tvp,TVPUnsupportedColorModeForPalettImage,Unsupported color mode for palettized image.,Unsupported color mode for palettized image.,不支持的调色图像的色彩类型,不支援的調色盤影像的色彩類型,,
tvp,TVPNotWindowsBmp,This is not a Windows BMP file or an OS/2 BMP file.,This is not a Windows BMP file or an OS/2 BMP file.,该文件不是一个 Windows BMP 文件或者 OS/2 BMP 文件,該檔案不是一個 Windows BMP 檔案或者 OS/2 BMP 檔案,,
tvp,TVPUnsupportedHeaderVersion,Non-supported header version.,Non-supported header version.,不支持的头文件版本。,不支援的標頭版本。,,
tvp,TVPInfoTouching,(info) Touching ,(info) Touching ,（info）触下…,（info）觸下…,,
tvp,TVPAbortedTimeOut, ... 中断 [タイムアウト], ... aborted [timed out], ... 已中断 [已超时], ... 已中斷 [已逾時],,
tvp,TVPAbortedLimitByte, ... 中断 [バイトサイズ上限値超過], ... aborted [limit bytes exceeded], ... 已中断 [超出字节限制], ... 已中斷 [超出位元組限制],,
tvp,TVPFaildGlyphForDrawGlyph,Faild glyph for DrawGlyph.,Faild glyph for DrawGlyph.,DrawGlyph 失败,DrawGlyph 失敗,,
tvp,TVPLayerObjectIsNotProperlyConstructed,Panic! Layer object is not properly constructed. The constructor was not called??,Panic! Layer object is not properly constructed. The constructor was not called??,Panic！Layer 对象没有属性构造方法。未进行调用构造方法？,Panic！Layer 物件沒有屬性建構方法。未呼叫建構方法？,,
tvp,TVPUnknownUpdateType,不明な update タイプ,Unknown update type,未知 Update 类型,未知 Update 類型,,
tvp,TVPUnknownTransitionType,不明な transition タイプ,Unknown transition type,未知 transition 类型,未知 transition 類型,,
tvp,TVPUnsupportedUpdateTypeTutGiveUpdate,Update タイプの tutGiveUpdate はサポートしていません,Update type of tutGiveUpdate is not yet supported,Update 类型：暂不支持 tutGiveUpdate,Update 類型：暫不支援 tutGiveUpdate,,
tvp,TVPErrorCode,エラーコード : ,error code : ,错误代码：,錯誤代碼：,,
tvp,TVPUnsupportedJpegPalette,JPEG はパレット画像をサポートしていません,JPEG does not support palettized image,JPEG 文件不支持色彩调整,JPEG 檔案不支援色彩調整,,
tvp,TVPLibpngError,libpng エラー.,libpng error.,libpng 错误。,libpng 錯誤。,,
tvp,TVPUnsupportedColorTypePalette,Unsupported color type for palattized image,Unsupported color type for palattized image,未知色彩调色类型,未知色彩調色盤類型,,
tvp,TVPUnsupportedColorType,サポートしていないカラータイプ,Unsupported color type,未知色彩类型,未知色彩類型,,
tvp,TVPTooLargeImage,Too large image,Too large image,图片过大,圖片過大,,
tvp,TVPPngSaveError,PNG save error.,PNG save error.,保存 PNG 时出错,儲存 PNG 時出錯,,
tvp,TVPTlgUnsupportedUniversalTransitionRule,"TLG cannot be used as universal transition rule, province(_p) or mask(_m) images.","TLG cannot be used as universal transition rule, province(_p) or mask(_m) images.",TLG 图片不能用作 province(_p) 或者 mask(_m) 图像的 universal transition rule。,TLG 圖片不能用作 province(_p) 或者 mask(_m) 圖像的 universal transition rule。,,
tvp,TVPUnsupportedColorCount,Unsupported color count : ,Unsupported color count : ,不支持的色彩数量 : ,不支援的色彩數量 : ,,
tvp,TVPDataFlagMustBeZero,Data flag must be 0 (any flags are not yet supported),Data flag must be 0 (any flags are not yet supported),Data flag 必须为 0 (所有的 flag 当前都未被支持),Data flag 必須為 0 (所有的 flag 目前都未被支援),,
tvp,TVPUnsupportedColorTypeColon,サポートしていないカラータイプです : ,Unsupported color type : ,不支持的色彩类型：,不支援的色彩類型：,,
tvp,TVPUnsupportedExternalGolombBitLengthTable,外部 golomb ビット長テーブルはサポートしていません,External golomb bit length table is not yet supported.,暂未支持外置 golomb bit length table.,暫未支援外置 golomb bit length table.,,
tvp,TVPUnsupportedEntropyCodingMethod,サポートしていないエントロピーコードメソッドです,Unsupported entropy coding method,不支持 entropy 编码方法,不支援 entropy 編碼方法,,
tvp,TVPInvalidTlgHeaderOrVersion,不正な TLG ヘッダーか、サポートしていない TLG バージョンです,Invalid TLG header or unsupported TLG version.,TLG header 无效或不支持的 TLG 版本。,TLG header 無效或不支援的 TLG 版本。,,
tvp,TVPTlgMalformedTagMissionColonAfterNameLength,"Malformed TLG SDS tag structure, missing colon after name length","Malformed TLG SDS tag structure, missing colon after name length",TLG SDS tag 结构异常，名字长度后面缺少列。,TLG SDS tag 結構異常，名稱長度後面缺少冒號。,,
tvp,TVPTlgMalformedTagMissionEqualsAfterName,"Malformed TLG SDS tag structure, missing equals after name","Malformed TLG SDS tag structure, missing equals after name",TLG SDS tag 结构异常，缺少等号后面的值,TLG SDS tag 結構異常，缺少等號後面的值,,
tvp,TVPTlgMalformedTagMissionColonAfterVaueLength,"Malformed TLG SDS tag structure, missing colon after value length","Malformed TLG SDS tag structure, missing colon after value length",TLG SDS tag 结构异常，值长度后面缺少列。,TLG SDS tag 結構異常，值長度後面缺少冒號。,,
tvp,TVPTlgMalformedTagMissionCommaAfterTag,"Malformed TLG SDS tag structure, missing comma after a tag","Malformed TLG SDS tag structure, missing comma after a tag",TLG SDS tag 结构异常，tag 后面缺少逗号,TLG SDS tag 結構異常，tag 後面缺少逗號,,
tvp,TVPFileSizeIsZero,ファイルサイズがゼロです,File size is zero.,文件大小为 0。,檔案大小為 0。,,
tvp,TVPMemoryAllocationError,メモリ確保に失敗しました,Memory allocation error.,分配内存时发生错误。,配置記憶體時發生錯誤。,,
tvp,TVPFileReadError,ファイル読込みエラー,File read error.,读取文件时发生错误。,讀取檔案時發生錯誤。,,
tvp,TVPInvalidPrerenderedFontFile,シグネチャが見つからないか、プリレンダーフォントファイルではありません,Signature not found or invalid pre-rendered font file.,无效的预渲染字体文件或者未找到签名文件,無效的預渲染字型檔案或者未找到簽名檔案,,
tvp,TVPNot16BitUnicodeFontFile,16 ビット UNICODE フォントファイルではありません,Not a 16-bit UNICODE font file.,非 16bit Unicode 字体文件。,非 16bit Unicode 字型檔案。,,
tvp,TVPInvalidHeaderVersion,不正なバージョンのヘッダーです,Invalid header version.,无效的 header 版本。,無效的 header 版本。,,
tvp,TVPTlgInsufficientMemory,SaveTLG6: メモリ不足です,SaveTLG6: Insufficient memory,SaveTLG6: 内存不足,SaveTLG6: 記憶體不足,,
tvp,TVPTlgTooLargeBitLength,SaveTLG6: ビット長が長すぎます (渡された画像が大きすぎる可能性があります),SaveTLG6: Too large bit length (given image may be too large),SaveTLG6:bit 长度太大 (可能是所给图片尺寸过大的原因。),SaveTLG6:bit 長度太大 (可能是所給圖片尺寸過大的原因。),,
tvp,TVPCannotRetriveInterfaceFromDrawDevice,渡された Draw Device からインターフェイスを取得できません,Could not retrive interface from given draw device,不能从绘图设备中获取到 interface 信息。,不能從繪圖裝置中取得 interface 資訊。,,
tvp,TVPIllegalCharacterConversionUTF16toUTF8,UTF-16では発生し得ないUTF-8への変換,Illegal character conversion. UTF-16 to UTF-8.,Illegal character conversion. UTF-16 to UTF-8.,Illegal character conversion. UTF-16 to UTF-8.,,
tvp,TVPRequireLayerTreeOwnerInterfaceInterface,layerTreeOwnerInterfaceを持つオブジェクトを指定してください,require layerTreeOwnerInterface interface,require layerTreeOwnerInterface interface,require layerTreeOwnerInterface interface,,
tvp,TVPRequireSlashEndOfDirectory,ディレクトリ名の末尾には '/' が必要です,/' must be specified at the end of given directory name.,目录名称必须以'/'结尾,目錄名稱必須以'/'結尾,,
tvp_win32,TVPScriptExceptionRaised,スクリプトで例外が発生しました,Script exception raised,触发脚本异常,觸發腳本例外,,nodecl
tvp_win32,TVPHardwareExceptionRaised,ハードウェア例外が発生しました,Hardware exception raised,触发硬件异常,觸發硬體例外,,
tvp_win32,TVPMainCDPName,スクリプトエディタ (メイン),Script Editor (Main),脚本编辑器（主要）,腳本編輯器（主要）,,
tvp_win32,TVPExceptionCDPName,スクリプトエディタ (例外通知),Script Editor (Exception),脚本编辑器（异常通知）,腳本編輯器（例外通知）,,
tvp_win32,TVPCannnotLocateUIDLLForFolderSelection,フォルダ/アーカイブの選択画面を表示しようとしましたが krdevui.dll が見つからないので表示できません.\n実行するフォルダ/アーカイブはコマンドラインの引数として指定してください,Not found krdevui.dll,未找到 krdevui.dll，因此无法手动选择文件夹或封包。\n请通过命令行手动指定目标文件夹或封包。,未找到 krdevui.dll，因此無法手動選擇資料夾或封裝檔。\n請透過命令列手動指定目標資料夾或封裝檔。,,
tvp_win32,TVPInvalidUIDLL,krdevui.dll が異常か、バージョンが一致しません,Invalid krdevui.dll,krdevui.dll加载失败或版本不匹配,krdevui.dll載入失敗或版本不相符,,
tvp_win32,TVPInvalidBPP,無効な色深度です,Invalid bpp,色彩深度无效,色彩深度無效,,
tvp_win32,TVPCannotLoadPlugin,プラグイン %1 を読み込めません,Cannot load Plugin %1,插件加载失败：%1,外掛程式載入失敗：%1,,
tvp_win32,TVPNotValidPlugin,%1 は有効なプラグインではありません,Not valid plugin %1,无效插件：%1,無效外掛程式：%1,,
tvp_win32,TVPPluginUninitFailed,プラグインの解放に失敗しました,Faild to release plugin,插件卸载失败,外掛程式卸載失敗,,
tvp_win32,TVPCannnotLinkPluginWhilePluginLinking,プラグインの接続中に他のプラグインを接続することはできまません,Cannot link plugin while plugin linking,不能在加载插件时加载其它的插件,不能在載入外掛程式時載入其它的外掛程式,,
tvp_win32,TVPNotSusiePlugin,異常な Susie プラグインです,Not Susie Plugin,不是 Susie 插件,不是 Susie 外掛程式,,
tvp_win32,TVPSusiePluginError,Susie プラグインでエラーが発生しました/エラーコード %1,Susie Plugin error : %1,Susie 插件错误：%1,Susie 外掛程式錯誤：%1,,
tvp_win32,TVPCannotReleasePlugin,指定されたプラグインは使用中のため解放できません,Cannot release plugin,插件在使用过程中不能进行释放,外掛程式在使用過程中不能進行釋放,,
tvp_win32,TVPNotLoadedPlugin,%1 は読み込まれていません,Not loaded plugin %1,未加载插件：%1,未載入外掛程式：%1,,
tvp_win32,TVPCannotAllocateBitmapBits,ビットマップ用メモリを確保できません/%1(size=%2),Cannot allocate memory for Bitmap : %1 (size=%2),不能为 Bitmap 分配内存：%1（size=%2）,不能為 Bitmap 配置記憶體：%1（size=%2）,,
tvp_win32,TVPScanLineRangeOver,スキャンライン %1 は範囲(0～%2)を超えています,Scan line %1 is range over (0 to %2),%1 超过了扫描范围（正常为 0 到 %2）,%1 超過了掃描範圍（正常為 0 到 %2）,,nodecl
tvp_win32,TVPPluginError,プラグインでエラーが発生しました/%1,Plugin Error : %1,插件出现错误：%1,外掛程式出現錯誤：%1,,
tvp_win32,TVPInvalidCDDADrive,指定されたドライブでは CD-DA を再生できません,Invalid CD-DA Drive,无效的 CD-DA 驱动器,無效的 CD-DA 光碟機,,
tvp_win32,TVPCDDADriveNotFound,CD-DA を再生できるドライブが見つかりません,CD-DA Drive not found,未找到 CD-DA 驱动器,未找到 CD-DA 光碟機,,
tvp_win32,TVPMCIError,MCI でエラーが発生しました : %1,MCI Error : %1,MCI 发生了错误：%1,MCI 發生了錯誤：%1,,
tvp_win32,TVPInvalidSMF,有効な SMF ファイルではありません : %1,Invalid SMF : %1,无效的 SMF 文件：%1,無效的 SMF 檔案：%1,,
tvp_win32,TVPMalformedMIDIMessage,指定されたメッセージは MIDI メッセージとして有効な形式ではありません,Malformed MIDI Message,指定了无效的 MIDI 信息,指定了無效的 MIDI 訊息,,
tvp_win32,TVPCannotInitDirectSound,DirectSound を初期化できません : %1,DirectSound Initialize file : %1,DirectSound 初始化失败：%1,DirectSound 初始化失敗：%1,,
tvp_win32,TVPCannotCreateDSSecondaryBuffer,DirectSound セカンダリバッファを作成できません : %1/%2,Cannot create DirectSound secondary buffer : %1/%2,创建 DirectSound 辅助缓冲区失败：%1/%2,建立 DirectSound 輔助緩衝區失敗：%1/%2,,
tvp_win32,TVPInvalidLoopInformation,ループ情報 %1 は異常です,Invalid loop information %1,无效的 loop 信息：%1,無效的 loop 資訊：%1,,nodecl
tvp_win32,TVPNotChildMenuItem,指定されたメニュー項目はこのメニュー項目の子ではありません,Not child menu Item,指定的菜单项不是子菜单项,指定的選單項目不是子選單項目,,
tvp_win32,TVPCannotInitDirect3D,Direct3D を初期化できません : %1,Cannot initialize Direct3D : %1,Direct3D 初始化失败：%1,Direct3D 初始化失敗：%1,,
tvp_win32,TVPCannotFindDisplayMode,適合する画面モードが見つかりません : %1,Cannot find display mode : %1,未找到合适的画面显示模式：%1,未找到合適的畫面顯示模式：%1,,
tvp_win32,TVPCannotSwitchToFullScreen,フルスクリーンに切り替えられません : %1,Cannot switch to fullscreen : %1,不能切换到全屏模式：%1,不能切換到全螢幕模式：%1,,
tvp_win32,TVPInvalidPropertyInFullScreen,フルスクリーン中では操作できないプロパティを設定しようとしました,Invalid property in fullscreen : %1,在全屏模式下无效的属性：%1,在全螢幕模式下無效的屬性：%1,,
tvp_win32,TVPInvalidMethodInFullScreen,フルスクリーン中では操作できないメソッドを呼び出そうとしました,Invalid method in fullscreen : %1,在全屏模式下无效的方法：%2,在全螢幕模式下無效的方法：%2,,
tvp_win32,TVPCannotLoadCursor,マウスカーソル %1 の読み込みに失敗しました,Cannot load mouse cursor : %1,不能载入鼠标光标：%1,不能載入滑鼠游標：%1,,
tvp_win32,TVPCannotLoadKrMovieDLL,ビデオ/Shockwave Flash を再生するためには krmovie.dll / krflash.dll が必要ですが 読み込むことができません,Cannot load krmovie.dll,无法加载 krmovie.dll。播放视频和 flash 需要 krmovie.dll/krflash.dll。,無法載入 krmovie.dll。播放影片和 flash 需要 krmovie.dll/krflash.dll。,,
tvp_win32,TVPInvalidKrMovieDLL,krmovie.dll/krflash.dll が異常か 対応できないバージョンです,Invalid krmovie.dll,无效的 krmovie.dll 文件。krmovie.dll/krflash.dll 版本有误。,無效的 krmovie.dll 檔案。krmovie.dll/krflash.dll 版本有誤。,,
tvp_win32,TVPErrorInKrMovieDLL,krmovie.dll/krflash.dll 内でエラーが発生しました/%1,Error in krmovie.dll : %1,krmovie.dll 出现错误：%1,krmovie.dll 出現錯誤：%1,,
tvp_win32,TVPWindowAlreadyMissing,ウィンドウはすでに存在していません,Window already missing,Window 已经不存在,Window 已經不存在,,
tvp_win32,TVPPrerenderedFontMappingFailed,レンダリング済みフォントのマッピングに失敗しました : %1,Prerendered font mapping failed : %1,预渲染字体映射失败：%1,預渲染字型映射失敗：%1,,nodecl
tvp_win32,TVPConfigFailOriginalFileCannotBeRewritten,%1 に書き込みできません。ソフトウェアが実行中のままになっていないか、あるいは書き込み権限があるかどうかを確認してください,Cannot write %1.,不能写入 %1 文件,不能寫入 %1 檔案,,
tvp_win32,TVPConfigFailTempExeNotErased,%1 の終了を確認できないため、これを削除できませんでした(このファイルは削除して結構です),Did not exit %1. Cannot delete file.,不能删除文件。%1 文件不存在。,不能刪除檔案。%1 檔案不存在。,,
tvp_win32,TVPExecutionFail,%1 を実行できません,Cannot execute %1.,不能执行 %1 文件。,不能執行 %1 檔案。,,
tvp_win32,TVPPluginUnboundFunctionError,プラグインから関数 %1 を要求されましたが、その関数は本体内に存在しません。プラグインと本体のバージョンが正しく対応しているか確認してください,Plugin require %1 funcion. Bat not found function in this file.,未在文件中找到插件所需要 %1 函数。,未在檔案中找到外掛程式所需的 %1 函式。,,
tvp_win32,TVPExceptionHadBeenOccured, = (例外発生), = (Exception), = (触发异常), = (觸發例外),,
tvp_win32,TVPConsoleResult,コンソール : ,Console : ,控制台：,主控台：,,
tvp_win32,TVPInfoListingFiles,(info) Listing files in %1 …,(info) Listing files in %1 …,（info）正在列出 %1 中的文件...,（info）正在列出 %1 中的檔案...,,
tvp_win32,TVPInfoTotalPhysicalMemory,(info) Total physical memory : %1,(info) Total physical memory : %1,（info）总物理内存：%1,（info）總實體記憶體：%1,,
tvp_win32,TVPInfoSelectedProjectDirectory,(info) Selected project directory : %1,(info) Selected project directory : %1,（info）已选择项目的目录：%1,（info）已選擇專案的目錄：%1,,
tvp_win32,TVPTooSmallExecutableSize,too small executable size.,too small executable size.,可执行文件太小,可執行檔太小,,
tvp_win32,TVPInfoLoadingExecutableEmbeddedOptionsFailed,(info) Loading executable embedded options failed (ignoring) : %1,(info) Loading executable embedded options failed (ignoring) : %1,（info）载入可执行文件内置选项失败（已忽略）：%1,（info）載入可執行檔內建選項失敗（已忽略）：%1,,
tvp_win32,TVPInfoLoadingExecutableEmbeddedOptionsSucceeded,(info) Loading executable embedded options succeeded.,(info) Loading executable embedded options succeeded.,（info）成功载入可执行文件内置选项。,（info）成功載入可執行檔內建選項。,,
tvp_win32,TVPFileNotFound,file not found.,file not found.,未找到文件。,未找到檔案。,,
tvp_win32,TVPInfoLoadingConfigurationFileFailed,"(info) Loading configuration file ""%1"" failed (ignoring) : %2","(info) Loading configuration file ""%1"" failed (ignoring) : %2","（info）载入配置文件 ""%1"" 失败（已忽略）：%2","（info）載入設定檔 ""%1"" 失敗（已忽略）：%2",,
tvp_win32,TVPInfoLoadingConfigurationFileSucceeded,"(info) Loading configuration file ""%1"" succeeded.","(info) Loading configuration file ""%1"" succeeded.","（info）成功载入配置文件 ""%1""","（info）成功載入設定檔 ""%1""",,
tvp_win32,TVPInfoDataPathDoesNotExistTryingToMakeIt,"(info) Data path does not exist, trying to make it ... %1","(info) Data path does not exist, trying to make it ... %1",（info）Data 路径不存在，尝试新建... %1,（info）Data 路徑不存在，嘗試新建... %1,,
tvp_win32,TVPOk,成功。,ok.,成功。,成功。,,
tvp_win32,TVPFaild,失敗。,failed.,失败。,失敗。,,
tvp_win32,TVPInfoDataPath,(info) Data path : %1,(info) Data path : %1,（info）Data 路径：%1,（info）Data 路徑：%1,,
tvp_win32,TVPInfoSpecifiedOptionEarlierItemHasMorePriority,(info) Specified option(s) (earlier item has more priority) :,(info) Specified option(s) (earlier item has more priority) :,（info）已声明设置（越早声明的优先级更高）：,（info）已宣告設定（越早宣告的優先度越高）：,,
tvp_win32,TVPNone, (none), (none),（无）,（無）,,
tvp_win32,TVPInfoCpuClockRoughly,(info) CPU clock (roughly) : %dMHz,(info) CPU clock (roughly) : %dMHz,（info）CPU 时钟频率（大致数值）：%dMHz,（info）CPU 時脈頻率（大致數值）：%dMHz,,
tvp_win32,TVPProgramStartedOn,%1 (%2) 上で実行が開始されました,Program started on %1 (%2),程序已在 %1（%2）上启动。,程式已在 %1（%2）上啟動。,,
tvp_win32,TVPKirikiri,吉里吉里,Kirikiri,吉里吉里,吉里吉里,,
tvp_win32,TVPUnknownError,不明なエラーが発生しました。,Unknown error!,未知错误！,未知錯誤！,,
tvp_win32,TVPExitCode,終了コード: %d\n,Exit code: %d\n,退出识别代码：%d\n,結束識別代碼：%d\n,,
tvp_win32,TVPFatalError,致命的なエラーが発生しました,Fatal Error,发生了致命的错误。,發生了致命的錯誤。,,
tvp_win32,TVPEnableDigitizer,有効なデジタイザー,Enable Digitizer,指点数位设备可用。,指向數位裝置可用。,,
tvp_win32,TVPTouchIntegratedTouch,統合型のタッチ デジタイザーが入力に使用されています。,The device has an integrated touch digitizer. ,当前机器有集成数位设备。,目前機器有整合數位裝置。,,
tvp_win32,TVPTouchExternalTouch,外付けのタッチ デジタイザーが入力に使用されています。,The device has an external touch digitizer. ,当前机器有外置触控数位设备。,目前機器有外接觸控數位裝置。,,
tvp_win32,TVPTouchIntegratedPen,統合型のペン デジタイザーが入力に使用されています。,The device has an integrated pen digitizer.,当前机器有集成数位笔设备。,目前機器有整合數位筆裝置。,,
tvp_win32,TVPTouchExternalPen,外付けのペン デジタイザーが入力に使用されています。,The device has an external pen digitizer.,当前机器有外置数位笔设备。,目前機器有外接數位筆裝置。,,
tvp_win32,TVPTouchMultiInput,複数入力がサポートされた入力デジタイザーが入力に使用されています。,The device supports multiple sources of digitizer input. ,当前机器支持多点触控。,目前機器支援多點觸控。,,
tvp_win32,TVPTouchReady,入力デジタイザーで入力の準備ができています。,The device is ready to receive digitizer input.,触控数位设备已准备就绪。,觸控數位裝置已準備就緒。,,
tvp_win32,TVPCpuCheckFailure,CPUのチェック失敗,CPU check failure.,CPU 检测失败。,CPU 偵測失敗。,,
tvp_win32,TVPCpuCheckFailureCpuFamilyOrLesserIsNotSupported,CPU check failure: CPU family 4 or lesser is not supported\r\n%1,CPU check failure: CPU family 4 or lesser is not supported\r\n%1,CPU 检测失败：不支持低于 P4 系列的 CPU。,CPU 偵測失敗：不支援低於 P4 系列的 CPU。,,
tvp_win32,TVPInfoCpuNumber,(info) CPU #%1 : ,(info) CPU #%1 : ,（info）CPU #%1 : ,（info）CPU #%1 : ,,
tvp_win32,TVPCpuCheckFailureNotSupprtedCpu,CPUチェック失敗: サポートしていないCPU\r\n%1,CPU check failure: Not supported CPU\r\n%1,CPU 检查失败：不支持的 CPU 型号 \r\n%1,CPU 檢查失敗：不支援的 CPU 型號 \r\n%1,,
tvp_win32,TVPInfoFinallyDetectedCpuFeatures,(info) finally detected CPU features : %1,(info) finally detected CPU features : %1,（info）最终检测出 CPU 所支持的特性：%1,（info）最終偵測出 CPU 所支援的特性：%1,,
